concept_id	conc_id	conc_name	orthographic	ipa	tokens	language_id	glottocode	collector	comment
0001.:one	1493	ONE	tsiɛ	tsiɛ	ts iɛ	BodoKokrajhar	bodo1269	DG	Possibly siɛ
0002.:two	1498	TWO	nɔi	nɔi	n ɔi	BodoKokrajhar	bodo1269	DG	
0003.:three	492	THREE	tʰam	tʰam	tʰ a m	BodoKokrajhar	bodo1269	DG	
0004.:four	1500	FOUR	brɯi	brɯi	b r ɯi	BodoKokrajhar	bodo1269	DG	
0005.:five	493	FIVE	ba	ba	b a	BodoKokrajhar	bodo1269	DG	< *bŋa
0006.:six	1703	SIX	dɔ	dɔ	d ɔ	BodoKokrajhar	bodo1269	DG	
0007.:seven	1704	SEVEN	sni	sni	s + n i	BodoKokrajhar	bodo1269	DG	
0008.:eight	1705	EIGHT	dine	dine	d i + n e	BodoKokrajhar	bodo1269	DG	
0009.:nine	1483	NINE	ɡu	ɡu	ɡ u	BodoKokrajhar	bodo1269	DG	
0010.:ten	1515	TEN	dzi	dzi	dz i	BodoKokrajhar	bodo1269	DG	
0020.:twenty	1710	TWENTY	nɔidzi	nɔidzi	n ɔi + dz i	BodoKokrajhar	bodo1269	DG	
0100.:hundred	1634	HUNDRED	dzoutsiɛ	dzoutsiɛ	dz ou + ts i ɛ	BodoKokrajhar	bodo1269	DG	
1.n.sg	1212	WE	dzʊŋ	dzʊŋ	dz ʊ ŋ	BodoKokrajhar	bodo1269	DG	
1.n.sg	1212	WE	chung	ʧʰuŋ	ʧʰ u ŋ	KauBruReang	hala1254	MR	
1.n.sg	1212	WE	chung	ʧʰuŋ	ʧʰ u ŋ	KokborokTripura	tipp1239	MR	
1.sg	1209	I	aŋ	aŋ	a ŋ	BodoKokrajhar	bodo1269	DG	
1.sg	1209	I	ang	aŋ	a ŋ	KauBruReang	hala1254	MR	
1.sg	1209	I	ang	aŋ	a ŋ	KokborokDebbarma	debb1238	MR	
1.sg	1209	I	ang	aŋ	a ŋ	KokborokRupini	rupi1234	MR	
