NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	0001.:one	one	1493	ONE
2	0002.:two	two	1498	TWO
3	0003.:three	three	492	THREE
4	0004.:four	four	1500	FOUR
5	0005.:five	five	493	FIVE
6	0006.:six	six	1703	SIX
7	0007.:seven	seven	1704	SEVEN
8	0008.:eight	eight	1705	EIGHT
9	0009.:nine	nine	1483	NINE
10	0010.:ten	ten	1515	TEN
11	0020.:twenty	twenty	1710	TWENTY
12	0100.:hundred	hundred	1634	HUNDRED
13	1.n.sg	we	1212	WE
14	1.sg	I	1209	I
15	2.n.sg	you	1213	YOU
16	2.sg	thou	1215	THOU
17	3.n.sg	they	817	THEY
18	3.sg	she/she/it	262	HE OR SHE OR IT
19	above:to.be	to be above	1741	ABOVE
20	accipitridae..raptor:::	Accipitridae (raptor)	2683	EAGLE OR HAWK
21	afternoon	afternoon	1807	AFTERNOON
22	alcohol..from.rice	alcohol (from rice)	–	–
23	alcohol..imported	alcohol (imported)	842	LIQUOR
24	alcohol:brewed	brewed alcohol	404	ALCOHOL (FERMENTED DRINK)
25	alcohol:brewed	brewed alcohol	842	ALCOHOL (FERMENTED DRINK)
26	alcohol:distilled	distilled alcohol	404	LIQUOR
27	alcohol:distilled	distilled alcohol	842	LIQUOR
28	alive:to.be	to be alive	1422	BE ALIVE
29	all	all	98	ALL
30	angry:to.be	to be angry	1826	ANGRY
31	animal..general	animal (general)	619	ANIMAL
32	answer.:respond:to	to respond	1275	ANSWER
33	ant..general	ant (general)	587	ANT
34	ant.:termite	termite	883	TERMITE
35	ant:black	black ant	–	–
36	ant:red	red ant	–	–
37	areca.nut	areca nut	217	BETELNUT
38	arm.:elbow	elbow	981	ELBOW
39	arm.:shoulder	shoulder	1482	SHOULDER
40	arm::pit	armpit	1886	ARMPIT
41	arrive:to	to arrive	1387	ARRIVE
42	arrow	arrow	977	ARROW
43	arum	arum	–	–
44	ascend..move.upwards:to	to ascend (move upwards)	705	GO UP (ASCEND)
45	ash	ash	646	ASH
46	ask..question:to	to ask (question)	1309	ASK (INQUIRE)
47	awaken:to	to awaken	1602	WAKE UP
48	axe..general	axe (general)	677	AXE
49	back..of.body	back (of body)	1291	BACK
50	bad:to.be	to be bad	1292	BAD
51	bald:to.be	to be bald	1125	BALD
52	bamboo	bamboo	1927	BAMBOO
53	bamboo.shoot	bamboo shoot	2494	BAMBOO SHOOT
54	banana..fruit	banana (fruit)	868	BANANA
55	bat..animal	bat (animal)	1793	BAT
56	bear..animal	bear (animal)	1820	BEAR
57	beard	beard	678	BEARD
58	bed	bed	1663	BED
59	bee..general	bee (general)	665	BEE
60	belly..exterior	belly (exterior)	1251	BELLY
61	below..under:to.be	to be below (under)	1485	BELOW OR UNDER
62	big:to.be	to be big	1202	BIG
63	bird..general.term	bird (general term)	937	BIRD
64	bite:to	to bite	1403	BITE
65	bitter:to.be	to be bitter	887	BITTER
66	blanket	blanket	806	BLANKET
67	blind:to.be	to be blind	1653	BLIND
68	blood	blood	946	BLOOD
69	blow..with.mouth:to	to blow (with mouth)	176	BLOW (WITH MOUTH)
70	blunt..of.point:to.be	to be blunt (of point)	379	BLUNT
71	boat	boat	1844	BOAT
72	body	body	1480	BODY
73	boil..liquid:to	to boil (liquid)	792	BOIL (OF LIQUID)
74	bone	bone	1394	BONE
75	bow	bow	994	BOW
76	bowl	bowl	1530	BOWL
77	bracelet	bracelet	1754	BRACELET
78	brain	brain	1583	BRAIN
79	break..vi:to	to break (vi)	3020	BREAK (BREAKING)
80	breast	breast	1402	BREAST
81	breathe:to	to breathe	1407	BREATHE
82	bridge	bridge	1011	BRIDGE
83	bright:to.be	to be bright	679	BRIGHT
84	bring:to	to bring	692	BRING
85	broom	broom	245	BROOM
86	brother:elder	elder brother	1759	OLDER BROTHER
87	brother:younger	younger brother	1760	YOUNGER BROTHER
88	bubalus.bubalis..water.buffalo:::	Bubalus bubalis (water buffalo)	2516	WATER BUFFALO
89	burn..ambitr:to	to burn (ambitr)	2102	BURN
90	bury..object:to	to bury (object)	1719	BURY
91	butterfly	butterfly	1791	BUTTERFLY
92	buy:to	to buy	1869	BUY
93	cane..rattan	cane (rattan)	2497	RATTAN
94	carry..general:to	to carry (general)	700	CARRY
95	cat..domestic	cat (domestic)	1208	CAT
96	cattle..domestic	cattle (domestic)	1153	CATTLE
97	cave	cave	1155	CAVE
98	charcoal	charcoal	1188	CHARCOAL
99	cheek	cheek	1730	CHEEK
100	chest	chest	1592	CHEST
101	child	child	2099	CHILD
102	chili chutney	chili chutney	–	–
103	chili.pepper	chili pepper	919	CHILI PEPPER
104	chin	chin	1510	CHIN
105	choose..between.things:to	to choose (between things)	1750	CHOOSE
106	cicada	cicada	2353	CICADA
107	civet.cat	civet cat	3157	CIVET
108	claw..animal	claw (animal)	72	CLAW
109	close..tr:to	to close (tr)	–	–
110	cloth	cloth	1616	CLOTH
111	cloud..rain	cloud (rain)	1489	CLOUD
112	cockroach	cockroach	1575	COCKROACH
113	cold..of.items:to.be	to be cold (of items)	1287	COLD
114	collect..items:to	to collect (items)	–	–
115	colour.:black:to.be	to be black	163	BLACK
116	colour.:green:to.be	to be green	1425	GREEN
117	colour.:red:to.be	to be red	156	RED
118	colour.:white:to.be	to be white	1335	WHITE
119	colour.:yellow:to.be	to be yellow	1424	YELLOW
120	columbidae..pigeon:::	Columbidae (pigeon)	–	–
121	comb	comb	1475	COMB
122	comb:to	to comb	2070	COMB (VERB)
123	come.back..return:to	to come back (return)	581	COME BACK
124	come:to	to come	1446	COME
125	conceal..something:to	to conceal (something)	602	HIDE (CONCEAL)
126	concept_id	English	conc_id	conc_name
127	cook..general:to	to cook (general)	1100	COOK (SOMETHING)
128	coriander.seed	coriander seed	–	–
129	corpse	corpse	767	CORPSE
130	correct:to.be	to be correct	1657	TRUE
131	cough:to	to cough	879	COUGH
132	count:to	to count	1420	COUNT
133	crab	crab	2348	CRAB
134	crawl..of.babies:to	to crawl (of babies)	96	CRAWL
135	crocodilia:::	Crocodilia	1857	CROCODILE
136	crooked:to.be	to be crooked	297	CROOKED
137	crow	crow	913	CROW
138	crush:to	to crush	354	POUND
139	cup..traditional	cup (traditional)	476	CUP
140	cut..general:to	to cut (general)	1432	CUT
141	dance:to	to dance	1879	DANCE
142	dark:to.be	to be dark	–	–
143	daughter	daughter	1357	DAUGHTER
144	daughter.in.law	daughter in law	1057	DAUGHTER-IN-LAW
145	dawn..before.sunrise	dawn (before sunrise)	729	DAWN
146	day::time	daytime	1225	DAY (NOT NIGHT)
147	deaf:to.be	to be deaf	996	DEAF
148	deep:to.be	to be deep	1593	DEEP
149	deer..general	deer (general)	1936	DEER
150	descend..climb.down:to	to descend (climb down)	2014	GO DOWN (DESCEND)
151	dew	dew	1977	DEW
152	die:to	to die	1494	DIE
153	difficult..hard:to.be	to be difficult (hard)	584	DIFFICULT
154	dig:to	to dig	1418	DIG
155	dirty:to.be	to be dirty	1230	DIRTY
156	dive:to	to dive	119	DIVE
157	dog	dog	2009	DOG
158	door::way	doorway	1567	DOOR
159	dove	dove	1853	DOVE
160	dream	dream	–	–
161	drink:to	to drink	1401	DRINK
162	drum	drum	908	DRUM
163	drunk:to.be	to be drunk	1463	DRUNK
164	dry..in.sun:to	to dry (in sun)	1398	DRY
165	duck	duck	1360	DUCK
166	dust	dust	2	DUST
167	ear	ear	1247	EAR
168	ear..of.grain	ear (of grain)	–	–
169	east	east	1877	EAST
170	easy:to.be	to be easy	686	EASY
171	eat..general:to	to eat (general)	1336	EAT
172	egg..general	egg (general)	744	EGG
173	eggplant..brinjal	eggplant (brinjal)	1146	AUBERGINE
174	elephant	elephant	1290	ELEPHANT
175	embrace..hug:to	to embrace (hug)	928	EMBRACE
176	emerge:to	to emerge	1076	EMERGE (APPEAR)
177	empty:to.be	to be empty	1624	EMPTY
178	enter:to	to enter	749	ENTER
179	ereyesterday	ereyesterday	1180	DAY BEFORE YESTERDAY
180	evening	evening	1629	EVENING
